"Species";"Variables";"Df";"SumsOfSqs";"F_score";"p.value";"Signifiance"
"Dugong_certain";"Habitat";6;0,0155534339031041;0,887726111323212;0,426;"ns"
"Dugong_certain";"Reserve";1;0,00540461037068961;1,850837741998;0,121;"ns"
"Dugong_certain";"Habitat * Reserve";6;0,0306417157168747;1,74890325230262;0,05;"*"
"Turtle";"Habitat";6;0,00257382160565758;1,60382084948425;0,135;"ns"
"Turtle";"Reserve";1;0,000607638235398307;2,27181915498757;0,135;"ns"
"Turtle";"Habitat * Reserve";6;0,000874987184123074;0,545229197642691;0,723;"ns"
"Shark";"Habitat";6;0,000512406721431068;1,2819641430327;0,25;"ns"
"Shark";"Reserve";1;0,000644087266557279;9,66845374398295;0,001;"***"
"Shark";"Habitat * Reserve";6;0,000456825584012905;1,14290854087342;0,276;"ns"
"Round_ray";"Habitat";6;0,00513188878518837;7,58626306146625;0,001;"***"
"Round_ray";"Reserve";1;2,85843396517016e-05;0,253530420217183;0,623;"ns"
"Round_ray";"Habitat * Reserve";6;0,00159324261480752;2,3552259416753;0,029;"*"
"Eagle_ray";"Habitat";6;0,000816690946738091;1,73644321390454;0,12;"ns"
"Eagle_ray";"Reserve";1;0,000392596654132674;5,00841939237708;0,008;"**"
"Eagle_ray";"Habitat * Reserve";6;0,000285598296997943;0,607237323623488;0,677;"ns"
